OUT,Mg,Al,Fe,Co,Ni,Cu,Zn,Ga,Ag,In,Sn,Bi
3.77,0,0,0,20,0,0,0.8,48.8,0,20,10.4,0
4.38,0,0,0,15,0,0,0.85,51.85,0,21.25,11.05,0
4.96,0,0,0,10,0,0,0.9,54.9,0,22.5,11.7,0
5.22,0,0,25,0,0,0,0.75,45.75,0,18.75,9.75,0
5.31,0,0,25,0,0,0,3,50.25,0,21.75,0,0
5.6,0,0,20,0,0,0,3.2,53.6,0,23.2,0,0
5.73,0,0,20,0,0,0,12.8,57.6,0,9.6,0,0
5.74,0,0,20,0,0,0,0.8,48.8,0,20,10.4,0
5.77,0,0,15,0,0,0,13.6,61.2,0,10.2,0,0
5.8,0,0,15,0,0,0,3.4,56.95,0,24.65,0,0
5.88,0,0,25,0,0,0,12,54,0,9,0,0
5.88,0,0,15,0,0,0,0.85,51.85,0,21.25,11.05,0
5.91,0,0,0,0,0,0,0,100,0,0,0,0
6,0,0,10,0,0,0,3.6,60.3,0,26.1,0,0
6.07,4.76,0,0,0,0,0,6.67,0,0,0,88.57,0
6.1,0,0,0,0,0,0,3.6,96.4,0,0,0,0
6.13,0,0,17.5,0,0,0,0.825,50.325,0,20.625,10.725,0
6.13,0,4.76,0,0,0,0,6.67,0,0,0,88.57,0
6.14,0,0,10,0,0,0,14.4,64.8,0,10.8,0,0
6.19,0,0,10,0,0,0,0.9,54.9,0,22.5,11.7,0
6.2,0,0,0,0,0,0,2.9,86.3,0,0,10.8,0
6.2,0,0,0,0,0,0,0,86.5,0,0,13.5,0
6.23,0,0,12.5,0,0,0,0.875,53.375,0,21.875,11.375,0
6.25,0,0,0,0,20,0,0.8,48.8,0,20,10.4,0
6.29,0,0,0,0,0,0,16,72,0,12,0,0
6.31,0,0,0,0,0,0,0,75.5,0,24.5,0,0
6.37,0,0,0,0,0,0,4,67,0,29,0,0
6.38,0,0,0,0,0,0,0,68.5,0,21.5,10,0
6.42,0,0,0,0,0,0,0,62.5,0,21.5,16,0
6.45,0,0,0,0,0,0,1,61,0,25,13,0
6.45,0,0,0,0,0,0,0,62,0,25,13,0
6.46,0,0,0,0,10,0,0.9,54.9,0,22.5,11.7,0
6.46,0,0,0,0,15,0,0.85,51.85,0,21.25,11.05,0
6.62,0,0,0,0,12.5,0,0.875,53.375,0,21.875,11.375,0
6.68,0,0,0,0,17.5,0,0.825,50.325,0,20.625,10.725,0
6.83,0,0,0,0,0,0,7,0,0,0,93,0
7.19,0,0,0,0,0,1.5,0,0,0,0,98.5,0
7.24,0,0,0,0,0,0,4.5,0,0,0,93.5,2
7.25,0,0,0,0,0,0,0,0,0,52,48,0
7.28,0,0,0,0,0,0,0,0,0,0,100,0
7.31,0,0,0,0,0,0,0,0,0,100,0,0
7.74,0,0,0,0,0,0,0,0,0.5,58.7,18.7,22.1
8.58,0,0,0,0,0,0,0,0,0,0,42,58
9.8,0,0,0,0,0,0,0,0,0,0,0,100
