OUT,Mn,Mo,C,Al,N,Cr,P,Cu,S,Si,Ni
95,1.14,0.08,0.15,0.028,0.0082,0.2,0.009,0.14,0.021,0.3,0.31
99,1.14,0.08,0.16,0.015,0.0067,0.24,0.017,0.13,0.016,0.28,0.33
91,1.09,0.09,0.14,0.032,0.0098,0.12,0.008,0.17,0.015,0.3,0.39
89,1.33,0.49,0.18,0.028,0.006,0.11,0.015,0.11,0.008,0.26,0.55
91,1.34,0.49,0.17,0.038,0.007,0.16,0.014,0.11,0.009,0.23,0.57
92,1.37,0.53,0.17,0.008,0.0071,0.08,0.016,0.24,0.014,0.33,0.6
89,1.44,0.5,0.17,0.006,0.0079,0.08,0.015,0.23,0.01,0.35,0.058
90,1.41,0.53,0.19,0.008,0.0077,0.1,0.014,0.25,0.006,0.33,0.058
70,0.48,0.51,0.11,0.005,0.0078,0,0.012,0,0.01,0.3,0
72,0.5,0.5,0.12,0.005,0.0068,0,0.012,0,0.01,0.25,0
70,0.48,0.49,0.13,0.005,0.006,0,0.006,0,0.007,0.31,0
68,0.43,0.5,0.15,0.004,0.004,0.02,0.011,0.03,0.022,0.22,0.01
70,0.46,0.5,0.14,0.006,0.006,0.03,0.012,0.03,0.012,0.22,0.01
71,0.58,0.52,0.15,0.007,0.011,0.11,0.008,0.04,0.01,0.25,0.05
78,0.59,0.54,0.2,0.003,0.0054,0.02,0.012,0.07,0.01,0.28,0.02
77,0.63,0.52,0.17,0.003,0.007,0.09,0.012,0.1,0.012,0.3,0.04
76,0.66,0.51,0.13,0.004,0.0057,0.06,0.01,0.13,0.01,0.23,0.08
87,0.63,0.58,0.14,0.004,0.006,0,0.008,0.03,0.005,0.39,0
85,0.67,0.6,0.14,0.004,0.007,0,0.007,0.03,0.004,0.4,0
84,0.64,0.58,0.14,0.005,0.008,0,0.006,0.03,0.005,0.39,0
78,0.48,0.51,0.12,0.006,0.013,0.64,0.008,0.04,0.012,0.25,0.04
72,0.49,0.51,0.16,0.006,0.0086,0.61,0.012,0.04,0.007,0.24,0.035
76,0.43,0.51,0.12,0.006,0.015,0.59,0.006,0.03,0.011,0.25,0.03
76,0.44,0.52,0.12,0.004,0.0058,0.71,0.013,0.06,0.012,0.25,0.05
79,0.47,0.49,0.12,0.006,0.013,0.71,0.008,0.06,0.011,0.24,0.04
72,0.45,0.49,0.15,0.006,0.0084,0.58,0.012,0.04,0.006,0.26,0.033
75,0.45,0.52,0.14,0.004,0.0062,0.68,0.013,0.06,0.013,0.22,0.06
73,0.42,0.52,0.15,0.004,0.0056,0.66,0.015,0.07,0.011,0.21,0.06
71,0.45,0.48,0.15,0.006,0.0082,0.6,0.013,0.04,0.008,0.25,0.032
83,0.52,0.61,0.12,0.003,0.0066,0.97,0.009,0.04,0.003,0.36,0.089
79,0.49,0.57,0.09,0.005,0.008,0.98,0.006,0.07,0.005,0.37,0.055
77,0.49,0.56,0.1,0.006,0.009,0.9,0.008,0.08,0.009,0.28,0.028
81,0.48,0.56,0.12,0.006,0.008,0.96,0.014,0.08,0.008,0.43,0.051
80,0.44,0.54,0.12,0.007,0.01,0.99,0.018,0.08,0.008,0.28,0.03
72,0.45,0.5,0.12,0.009,0.0088,1,0.018,0.06,0.008,0.37,0.035
72,0.45,0.53,0.12,0.007,0.008,1,0.018,0.05,0.007,0.36,0.028
71,0.44,0.51,0.1,0.012,0.0082,1.01,0.02,0.08,0.007,0.35,0.05
79,0.48,0.52,0.09,0.009,0.0089,1.05,0.02,0.04,0.017,0.32,0.023
78,0.51,0.53,0.1,0.009,0.0076,1.03,0.22,0.04,0.017,0.31,0.02
78,0.49,0.5,0.1,0.009,0.0089,1.04,0.02,0.04,0.018,0.3,0.023
80,0.44,0.54,0.12,0.007,0.01,0.99,0.018,0.08,0.008,0.28,0.03
72,0.45,0.5,0.12,0.009,0.0088,1,0.018,0.06,0.008,0.37,0.035
72,0.45,0.53,0.12,0.007,0.008,1,0.018,0.05,0.007,0.36,0.028
71,0.44,0.51,0.1,0.012,0.0082,1.01,0.02,0.08,0.007,0.35,0.05
79,0.48,0.52,0.09,0.009,0.0089,1.05,0.02,0.04,0.017,0.32,0.023
78,0.51,0.53,0.1,0.009,0.0076,1.03,0.022,0.04,0.017,0.31,0.02
78,0.49,0.5,0.1,0.009,0.0089,1.04,0.02,0.04,0.018,0.3,0.023
83,0.52,0.61,0.12,0.003,0.0066,0.97,0.009,0.04,0.003,0.36,0.089
79,0.49,0.57,0.09,0.005,0.008,0.98,0.006,0.07,0.005,0.37,0.055
77,0.49,0.56,0.1,0.006,0.009,0.9,0.008,0.08,0.009,0.28,0.028
81,0.48,0.56,0.12,0.006,0.008,0.96,0.014,0.08,0.008,0.43,0.051
82,0.49,0.56,0.12,0.004,0.01,1.2,0.007,0.05,0.006,0.79,0.12
83,0.47,0.54,0.11,0.012,0.0097,1.27,0.02,0.05,0.018,0.7,0.022
81,0.45,0.55,0.12,0.007,0.01,1.28,0.021,0.04,0.017,0.69,0.024
83,0.47,0.56,0.1,0.009,0.0099,1.28,0.02,0.04,0.017,0.71,0.022
81,0.46,0.55,0.11,0.01,0.009,1.27,0.014,0.07,0.009,0.75,0.058
81,0.47,0.56,0.1,0.009,0.011,1.24,0.014,0.07,0.007,0.7,0.11
83,0.51,0.56,0.11,0.01,0.01,1.27,0.012,0.07,0.005,0.66,0.032
75,0.46,0.52,0.1,0.01,0.0114,1.15,0.021,0.06,0.006,0.7,0.044
76,0.44,0.52,0.1,0.008,0.0104,1.21,0.016,0.06,0.006,0.68,0.039
79,0.5,0.52,0.15,0.01,0.008,1.16,0.021,0.06,0.006,0.63,0.07
82,0.49,0.56,0.12,0.004,0.01,1.2,0.007,0.05,0.006,0.79,0.12
83,0.47,0.54,0.11,0.012,0.0097,1.27,0.02,0.05,0.018,0.7,0.022
81,0.45,0.55,0.12,0.007,0.01,1.28,0.021,0.04,0.017,0.69,0.024
83,0.47,0.56,0.1,0.009,0.0099,1.28,0.02,0.04,0.017,0.71,0.022
81,0.46,0.55,0.11,0.01,0.009,1.27,0.014,0.07,0.009,0.75,0.058
81,0.47,0.56,0.1,0.009,0.011,1.24,0.014,0.07,0.007,0.7,0.11
83,0.51,0.56,0.11,0.01,0.01,1.27,0.012,0.07,0.005,0.66,0.032
