OUT,Mg,Al,Fe,Co,Ni,Cu,Zn,Ga,Ag,In,Sn,Bi
1.93,0,0,0,0,0,0,0,0,0,0,42,58
2.20,0,0,0,0,0,0,0,100,0,0,0,0
2.89,0,0,0,0,0,0,0,0,0.5,58.7,18.7,22.1
3.36,0,0,0,0,0,0,0,62.5,0,21.5,16,0
3.37,0,0,0,0,0,0,16,72,0,12,0,0
3.38,0,0,0,0,0,0,1,61,0,25,13,0
3.39,0,0,0,0,0,0,0,62,0,25,13,0
3.45,0,0,0,0,0,0,0,68.5,0,21.5,10,0
3.60,0,0,0,0,0,0,4,67,0,29,0,0
3.60,0,0,0,0,0,0,0,75.5,0,24.5,0,0
3.65,0,0,0,0,0,0,2.9,86.3,0,0,10.8,0
3.65,0,0,0,0,0,0,0,86.5,0,0,13.5,0
3.78,0,0,0,0,0,0,3.6,96.4,0,0,0,0
5.04,0,0,0,0,0,0,1.8,0,0,51.7,46,0.5
5.43,0,0,0,0,0,0,0,0,0,52,48,0
7.31,0,0,0,0,0,0,0.4,0,0,48.6,16,35
8.65,0,0,0,0,0,0,4.5,0,0,0,93.5,2
9.02,0,0,0,0,0,1.5,0,0,0,0,98.5,0
9.20,0,0,0,0,0,0,0,0,0,0,100,0
10.33,0,0,0,0,0,0,0,0,3.2,96.8,0,0
11.60,0,0,0,0,0,0,0,0,0,100,0,0
