OUT,Mg,Al,Fe,Co,Ni,Cu,Zn,Ga,Ag,In,Sn,Bi
0.00597,0,0,0,0,0,0,4,67,0,29,0,0
0.00669,0,0,0,0,0,0,1,61,0,25,13,0
0.00989,0,0,0,0,10,0,0.9,54.9,0,22.5,11.7,0
0.01214,0,0,0,0,15,0,0.85,51.85,0,21.25,11.05,0
0.01734,0,0,10,0,0,0,0.9,54.9,0,22.5,11.7,0
0.01915,0,0,12.5,0,0,0,0.875,53.375,0,21.875,11.375,0
0.02143,0,0,10,0,0,0,14.4,64.8,0,10.8,0,0
0.02196,0,0,0,0,12.5,0,0.875,53.375,0,21.875,11.375,0
0.02648,0,0,10,0,0,0,3.6,60.3,0,26.1,0,0
0.03858,0,0,0,0,20,0,0.8,48.8,0,20,10.4,0
0.05702,0,0,0,0,17.5,0,0.825,50.325,0,20.625,10.725,0
0.05800,0,0,0,0,0,0,16,72,0,12,0,0
0.06198,0,0,15,0,0,0,13.6,61.2,0,10.2,0,0
0.06986,0,0,20,0,0,0,12.8,57.6,0,9.6,0,0
0.08377,0,0,15,0,0,0,0.85,51.85,0,21.25,11.05,0
0.13136,0,0,15,0,0,0,3.4,56.95,0,24.65,0,0
0.16476,0,0,17.5,0,0,0,0.825,50.325,0,20.625,10.725,0
0.17393,0,0,20,0,0,0,0.8,48.8,0,20,10.4,0
0.18298,0,0,20,0,0,0,3.2,53.6,0,23.2,0,0
0.18326,0,0,25,0,0,0,12,54,0,9,0,0
0.45920,0,0,25,0,0,0,0.75,45.75,0,18.75,9.75,0
0.57803,0,0,25,0,0,0,3,50.25,0,21.75,0,0
